SeatNumber,Counts,UseTime_m,AvgUseTime,DoorDistance,DoorRange,Corridor,Path,Table,Wall,AC
214,88,16775.66667,190.6325758,2989.010706,0,0,0,10,0,0
215,103,19812.1,192.3504854,2989.010706,0,0,0,10,0,0
216,140,29429.83333,210.2130952,2989.010706,0,0,0,10,0,0
217,97,18661.75,192.3891753,2989.010706,0,0,0,10,0,1
218,87,15737.36667,180.889272,2989.010706,0,0,0,10,0,1
219,93,17587.2,189.1096774,2989.010706,0,0,1,10,0,1
220,180,34148.61667,189.714537,2989.010706,0,0,1,10,0,1
221,124,23117.7,186.4330645,798.9549424,1,1,1,6,0,1
222,179,30023.45,167.7287709,798.9549424,1,1,1,6,0,1
223,58,10832.43333,186.766092,798.9549424,1,1,0,6,0,0
224,75,14868.36667,198.2448889,798.9549424,1,1,0,6,0,0
225,124,23763.48333,191.6409946,798.9549424,1,1,0,6,1,0
226,148,24397.18333,164.8458333,798.9549424,1,1,0,6,1,0
227,160,29523.98333,184.5248958,2994.621846,0,0,0,10,1,0
228,376,57827.93333,153.797695,2994.621846,0,0,0,10,1,0
229,112,22077.35,197.1191964,2994.621846,0,0,0,10,0,0
230,78,13988.98333,179.3459402,2994.621846,0,0,0,10,0,0
231,80,15323.2,191.54,2994.621846,0,0,0,10,0,0
232,129,25017.61667,193.9350129,2994.621846,0,0,0,10,0,0
233,109,20751.65,190.3821101,2994.621846,0,0,0,10,0,1
234,79,13560.96667,171.6578059,2994.621846,0,0,0,10,0,1
235,99,16930.5,171.0151515,2994.621846,0,0,1,10,0,1
236,189,34879,184.5449735,2994.621846,0,0,1,10,0,1
237,100,17840.3,178.403,819.6975052,1,1,1,6,0,1
238,194,34815.46667,179.4611684,819.6975052,1,1,1,6,0,1
239,62,11907.5,192.0564516,819.6975052,1,1,0,6,0,0
240,69,12929.48333,187.3838164,819.6975052,1,1,0,6,0,0
241,113,19765.4,174.9150442,819.6975052,1,1,0,6,1,0
242,194,34556.26667,178.1250859,819.6975052,1,1,0,6,1,0
243,101,19862.16667,196.6551155,3063.187882,0,0,0,10,1,0
244,363,65739.43333,181.1003673,3122.898814,0,0,0,10,1,0
245,121,25134.83333,207.7258953,3063.187882,0,0,0,10,0,0
246,89,17440.01667,195.9552434,3122.898814,0,0,0,10,0,0
247,79,14476.21667,183.2432489,3063.187882,0,0,0,10,0,0
248,142,27896.36667,196.4532864,3122.898814,0,0,0,10,0,0
249,141,27394.63333,194.2881797,3063.187882,0,0,0,10,0,1
250,93,16608.45,178.5854839,3122.898814,0,0,0,10,0,1
251,102,17896.1,175.4519608,3063.187882,0,0,1,10,0,1
252,194,34560.83333,178.1486254,3122.898814,0,0,1,10,0,1
253,102,19335.2,189.5607843,1042.719521,1,1,1,6,0,1
254,215,42564.61667,197.9749612,1206.913833,1,1,1,6,0,1
255,62,12493.61667,201.5099462,1042.719521,1,1,0,6,0,0
256,64,12426.43333,194.1630208,1206.913833,1,1,0,6,0,0
257,86,14294.13333,166.2108527,1042.719521,1,1,0,6,1,0
258,258,48532.43333,188.1102067,1206.913833,1,1,0,6,1,0
259,104,21000.43333,201.9272436,3025.600106,0,0,0,10,1,0
260,353,61522.61667,174.2850331,3025.600106,0,0,0,10,1,0
261,156,34081.08333,218.4684829,3025.600106,0,0,0,10,0,0
262,72,12666.26667,175.9203704,3025.600106,0,0,0,10,0,0
263,88,17244.81667,195.9638258,3025.600106,0,0,0,10,0,0
264,160,27657.65,172.8603125,3025.600106,0,0,0,10,0,0
265,115,24588.58333,213.8137681,3025.600106,0,0,0,10,0,1
266,82,15303.31667,186.625813,3025.600106,0,0,0,10,0,1
267,103,20121.65,195.3558252,3025.600106,0,0,1,10,0,1
268,236,41158.23333,174.3992938,3025.600106,0,0,1,10,0,1
269,112,16606.16667,148.2693452,926.4987858,1,1,1,6,0,1
270,217,34611.96667,159.5021505,926.4987858,1,1,1,6,0,1
271,73,13055.68333,178.8449772,926.4987858,1,1,0,6,0,0
272,99,16220.61667,163.8446128,926.4987858,1,1,0,6,0,0
273,137,26975.86667,196.9041363,926.4987858,1,1,0,6,1,0
274,261,40182.51667,153.9560026,926.4987858,1,1,0,6,1,0
275,113,20466.45,181.1190265,2984.000168,0,0,0,10,1,0
276,510,86907.78333,170.4074183,2984.000168,0,0,0,10,2,0
277,128,23912.3,186.8148438,2984.000168,0,0,0,10,0,0
278,125,19001.51667,152.0121333,2984.000168,0,0,0,10,1,0
279,113,20253.8,179.2371681,2984.000168,0,0,0,10,0,0
280,140,24952.51667,178.2322619,2984.000168,0,0,0,10,1,0
281,75,14695.55,195.9406667,2984.000168,0,0,0,10,0,1
282,256,56236.63333,219.674349,2984.000168,0,0,0,10,1,1
283,132,20733.35,157.0708333,2984.000168,0,0,1,10,0,1
284,201,32985.16667,164.1053068,2984.000168,0,0,1,10,1,1
285,119,18926.63333,159.0473389,780.000641,1,1,1,6,0,1
286,273,41023.3,150.2684982,780.000641,1,1,1,6,1,1
287,61,9602.483333,157.4177596,780.000641,1,1,0,6,0,0
288,122,20924.43333,171.5117486,780.000641,1,1,1,6,1,0
289,114,20353.43333,178.5388889,780.000641,1,1,1,6,0,0
290,189,29602.98333,156.6295414,780.000641,1,1,0,6,1,0
